Category,Title,URL,Screenshot,Category_ZH,Category_EN,Title_ZH,Title_EN,Last_Updated
Physics,4.05 - Magnetic Field Lines,physics/04b/0405_magnetic_field_lines.html,physics/screenshots/0405_magnetic_field_lines_20260101141549.png,物理,Physics,4.05 - 磁場線,4.05 - Magnetic Field Lines,2026-01-01
Physics,4.06 - Mass Spectrometer,physics/04b/0406_mass_spectrometer.html,physics/screenshots/0406_mass_spectrometer_20260101143604.png,物理,Physics,4.06 - 質譜儀,4.06 - Mass Spectrometer,2026-01-01
Physics,5.01 - Geiger-Muller Counter,physics/05/0501_geiger_muller_counter.html,physics/screenshots/0501_geiger_muller_counter_20260101143609.png,物理,Physics,5.01 - 蓋革-米勒計數器,5.01 - Geiger-Muller Counter,2026-01-01
Physics,E1.04 - Fraunhofer Lines,physics/e01/e0104_fraunhofer_lines.html,physics/screenshots/e0104_fraunhofer_lines_20260101143615.png,物理,Physics,E1.04 - 夫朗和斐譜線,E1.04 - Fraunhofer Lines,2026-01-01
Physics,E2.01 - Rutherford Scattering Experiment,physics/e02/e0201_rutherford_experiment.html,physics/screenshots/e0201_rutherford_experiment_20260101143636.png,物理,Physics,E2.01 - 拉塞福散射實驗,E2.01 - Rutherford Scattering Experiment,2026-01-01
Physics,E2.01 - Photoelectric Effect,physics/e02/e0201_photoelectric_effect.html,physics/screenshots/e0201_photoelectric_effect_20260101143640.png,物理,Physics,E2.01 - 光電效應,E2.01 - Photoelectric Effect,2026-01-01
Physics,E2.02 - Electron Transition,physics/e02/e0202_electron_transition.html,physics/screenshots/e0202_electron_transition_20260101143644.png,物理,Physics,E2.02 - 電子躍遷,E2.02 - Electron Transition,2026-01-01
Physics,E2.02 - Emission Line Spectra,physics/e02/e0202_emission_line_spectra.html,physics/screenshots/e0202_emission_line_spectra_20260101143647.png,物理,Physics,E2.02 - 發射線光譜,E2.02 - Emission Line Spectra,2026-01-01
Physics,E3.01 - Air-Conditioner,physics/e03/e0301_air-conditioner.html,physics/screenshots/e0301_air-conditioner_20260101143651.png,物理,Physics,E3.01 - 空調,E3.01 - Air-Conditioner,2026-01-01
Physics,E3.03 - Thermal Conductivity,physics/e03/e0303_thermal_conductivity.html,physics/screenshots/e0303_thermal_conductivity_20260101143655.png,物理,Physics,E3.03 - 熱導率,E3.03 - Thermal Conductivity,2026-01-01
Physics,E3.03 - OTTV,physics/e03/e0303_ottv.html,physics/screenshots/e0303_ottv_20260101143702.png,物理,Physics,E3.03 - 總熱傳值,E3.03 - OTTV,2026-01-01
Physics,E3.03 - Cars (Electric Vehicles),physics/e03/e0303_cars.html,physics/screenshots/e0303_cars_20260101143706.png,物理,Physics,E3.03 - 汽車（電動車）,E3.03 - Cars (Electric Vehicles),2026-01-01
Physics,E3.04 - Wind Power,physics/e03/e0304_wind_power.html,physics/screenshots/e0304_wind_power_20260101143710.png,物理,Physics,E3.04 - 風力發電,E3.04 - Wind Power,2026-01-01
Physics,E3.04 - Photovoltaic Plate,physics/e03/e0304_photovoltaic_plate.html,physics/screenshots/e0304_photovoltaic_plate_20260101143716.png,物理,Physics,E3.04 - 光伏板,E3.04 - Photovoltaic Plate,2026-01-01
Astronomy,Hertzsprung-Russell Diagram,astronomy/hr_diagram.html,astronomy/screenshots/hr_diagram_20260101140520.png,天文學,Astronomy,赫羅圖,Hertzsprung-Russell Diagram,2026-01-01
Astronomy,Analemma,astronomy/analemma.html,astronomy/screenshots/analemma_20260101140525.png,天文學,Astronomy,日行跡,Analemma,2026-01-01
Astronomy,Solar System Model,astronomy/solar_system_model.html,astronomy/screenshots/solar_system_model_20260101140532.png,天文學,Astronomy,太陽系模型,Solar System Model,2026-01-01
